pid,main_color,style
SHTFACSAYGXXZY3R,gray,style_0
SHTF4FDXVNMQHUQM,black,style_0
KTAF8BG9J2XYCKQN,black,style_0
SHTFPG2H7W5DZGG3,gray,style_0
SHTF4ZCCGTDSQCVK,brown,style_0
SHTFPG2HME8GM48N,gray,style_0
SHTF4EHGBZGGHACP,white,style_0
SHTF7YU8UYN399HS,white,style_0
SHTF7YU85HHDMZZM,white,style_0
SHTFFM8NTVMFVFGM,brown,style_0
SHTF4EHGT7Y87GS4,orange,style_0
SHTF4EHGZUJHPB7C,brown,style_0
SHTFPG2HV7MZHPNA,gray,style_0
SHTF4ZCCMGQH8DUQ,black,style_0
SHTF4EHGCKNVVYUB,brown,style_0
SHTF4EHGWGCXGB3G,white,style_0
SHTF4ZCCG2EGZDVZ,black,style_0
SHTF7YU88WCKKHFS,white,style_0
SHTFP3TTWBZ3E2HC,white,style_0
SHTF4ZCCFU7V66BS,white,style_0
SHTFP3TTJREVUQTG,white,style_0
SHTFA82ZZSANMWK9,white,style_0
SHTFN2EPBYAMUFHM,pink,style_0
SHTFVC359UXVUAYG,white,style_0
JCKFPEVFF5DWZB4H,gray,style_1
SHTFVC35SDFD65CK,white,style_0
SHTFVC35EZHSEZEN,white,style_0
SHTFW44HMHCM6APY,gray,style_0
JCKFVJ54N4NZGPTP,white,style_0
SHTFU85T4HFY8BJ5,pink,style_0
SHTFU9M8FDBGYFPV,pink,style_0
SHTFU9HZVUJZZXAH,pink,style_0
